   Label       Predict
0.7570000     0.8305492
0.7140000     0.7811470
0.0100000     -0.1303765
0.3840000     0.3789605
0.3150000     0.2908079
0.7310000     0.8049830
0.4210000     0.4106392
0.1980000     0.1681329
0.5760000     0.6021317
0.1310000     0.0837671
0.1320000     0.0534504
0.4560000     0.4732053
0.2960000     0.2447174
0.0600000     -0.0627852
0.6750000     0.7302018
0.1540000     0.0730812
0.3170000     0.2785537
0.4400000     0.4583659
0.4940000     0.5077658
0.6410000     0.6735671
0.7190000     0.7786051
0.3390000     0.3073797
0.1360000     0.0823564
0.7980000     0.8878044
0.4470000     0.4292419
0.6950000     0.7407347
0.5340000     0.5489597
0.4780000     0.4947102
0.2740000     0.2235327
0.1960000     0.1741337
0.6150000     0.6429039
0.5830000     0.5988675
0.5600000     0.5921298
0.4470000     0.4261802
0.3360000     0.3158925
0.5840000     0.6103964
0.7900000     0.8632572
0.3120000     0.2948073
0.7010000     0.7758538
0.0400000     -0.0955325
0.7460000     0.8198171
0.7910000     0.8828619
0.4300000     0.4220695
0.0380000     -0.0910849
0.8050000     0.8952684
0.6790000     0.7348422
0.4840000     0.4937772
0.0500000     -0.0678265
0.5250000     0.5150480
0.1590000     0.0918445
0.6730000     0.7278860
0.0100000     -0.1404061
0.0200000     -0.0991031
0.7470000     0.8198658
1.1230000     1.2113864
0.3130000     0.2923831
0.7560000     0.8350064
0.5300000     0.5392898
0.3700000     0.3772314
0.2500000     0.2062995
0.5870000     0.6058754
0.2090000     0.1814507
0.5090000     0.5410164
0.4900000     0.4966533
0.6730000     0.7199677
0.4220000     0.4125135
0.2950000     0.2717330
0.0300000     -0.1169260
0.5230000     0.5279233
0.6700000     0.7130507
0.0200000     -0.1153663
0.7740000     0.8526829
0.0300000     -0.1053117
0.0420000     -0.0868396
0.5140000     0.5387868
0.3250000     0.3008249
0.1440000     0.0648462
0.3510000     0.3102527
0.0430000     -0.0803438
0.0500000     -0.0615634
0.6270000     0.6690203
0.5430000     0.5713704
0.0200000     -0.1089972
0.3250000     0.3245310
0.5920000     0.6073809
0.7150000     0.7856436
0.5840000     0.6084239
0.7010000     0.7516901
0.6520000     0.6994705
0.5140000     0.5199070
0.7410000     0.8007459
0.6660000     0.7198427
0.6340000     0.6812440
0.1370000     0.0455258
0.1220000     0.0197712
0.3760000     0.3783584
0.2210000     0.1774860
0.3910000     0.3827889
0.7300000     0.7943363
0.6260000     0.6554816
0.3310000     0.3118682
0.6930000     0.7592266
0.0700000     -0.0215333
0.6530000     0.6841146
0.7170000     0.7925082
0.0200000     -0.1310999
0.4990000     0.5104278
0.7180000     0.7653733
0.4680000     0.4598521
0.4960000     0.5301309
0.1530000     0.0700682
0.1550000     0.0810337
0.7530000     0.8310757
0.3160000     0.3121993
0.5190000     0.5345618
0.3570000     0.3607288
0.5230000     0.5447673
0.0850000     -0.0285267
0.0450000     -0.0837432
0.3080000     0.2755662
0.1240000     0.0400358
0.6560000     0.7045116
0.0100000     -0.1219441
0.7680000     0.8593251
0.3650000     0.3505429
0.1120000     0.0071296
0.5930000     0.6285866
0.7270000     0.7978076
0.5760000     0.6122772
0.3050000     0.2647961
0.0200000     -0.1209716
0.2760000     0.2576485
0.0200000     -0.1189001
0.7490000     0.8050162
0.0620000     -0.0619337
0.2910000     0.2777124
0.3910000     0.4045700
0.7990000     0.8841337
0.6410000     0.6641971
0.1910000     0.1270200
0.6490000     0.6919446
0.8100000     0.9042045
0.7870000     0.8738074
0.0200000     -0.1040964
0.5550000     0.5818840
0.2810000     0.2582802
0.7120000     0.7687010
0.1350000     0.0721238
0.0300000     -0.0915228
0.5360000     0.5412259
0.5310000     0.5403818
0.6460000     0.6928538
0.4490000     0.4358981
0.4860000     0.5118589
0.3530000     0.3223290
0.4930000     0.4883424
0.7210000     0.7855393
0.1690000     0.0898464
0.1400000     0.0599714
0.1770000     0.0957814
0.5240000     0.5396179
0.7780000     0.8659731
0.5420000     0.5567019
0.0200000     -0.1283897
1.2120000     1.2301451
0.3530000     0.3406333
0.6630000     0.7068225
0.6480000     0.7007959
0.1280000     0.0468399
0.7040000     0.7625006
0.4030000     0.4108208
0.4280000     0.4308078
0.2980000     0.2894266
0.4580000     0.4734168
0.4630000     0.4675199
0.5870000     0.6164806
0.3950000     0.4123898
0.7720000     0.8533539
0.1400000     0.0524381
0.5900000     0.6279433
0.0300000     -0.0738696
0.1960000     0.1556979
0.8080000     0.9039112
0.5450000     0.5741378
0.7250000     0.8040950
0.4920000     0.4855738
0.0200000     -0.1180028
0.5180000     0.5401366
0.1780000     0.0956044
0.0740000     -0.0508240
0.0780000     -0.0318081
0.5240000     0.5483369
0.7490000     0.8167254
0.7030000     0.7720614
0.1820000     0.1601701
0.7280000     0.7845176
0.0440000     -0.0796817
0.2460000     0.1878627
0.0520000     -0.0796712
