NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,a_?_uint,c_?_unit,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,Temperature,Kpa,N_optimal,ZT
0,0,0,0.25,0.5,0.5,0.326264274,0.465705378,0.441860465,0.53164557,0.694029851,0.825619296,0.018604651,0.133418858,0,0.453125,0.5,0.5,0.6,0,0.071038251,0.051587302,0,0.090909091,0,0.181818182,0.248031496,1.68,0.08
0,0,0,0.625,0,1,0.535073409,0.511957993,0.593023256,0.253164557,0.186567164,0.394067797,0.046511628,0.023733162,0.6,0.5546875,0,0,0,0.107142857,0.198542805,0.037878788,0.333333333,0.090909091,0.093023256,0.181818182,0.234251969,-0.54,0.26
0,0,0,0.625,0.5,0.5,0.425774878,0.479550396,0.360465116,0.443037975,0.708955224,0.596805737,0.093023256,0.016677357,0,0.703125,0.5,0.5,0.4,0.012987013,0.289617486,0.221861472,0,0.090909091,0,0.181818182,0.236220472,1.35,0.085
0,0,0,1,0,0.5,0.182707993,0.471017763,0.848837209,0.151898734,0.649253731,0.967731421,0.176744186,0.050032072,0.4,0.625,0,0,0,0.457792208,0.289617486,0.094516595,0,0.090909091,0,0.181818182,0.157480315,0.99,0.159
0,0,0,1,0,1,0.569331158,0.522808385,0.906976744,0.151898734,0.208955224,0.693937419,0.023255814,0.022450289,0.6,0.609375,0,0,0,0.275974026,0.180327869,0.058441558,0,0.090909091,0.003322259,0.181818182,0.222440945,-0.91,0.209
0,0,0,1,1,1,0.942903752,0.551708578,1,0.202531646,0.253731343,0.544002608,0.069767442,0.118024375,0,0.3984375,0,0,0.2,0.00974026,0.216757741,0.046536797,0,0.363636364,0.006644518,0.181818182,0.222440945,-0.66,0.124
0,0,0,1,0.5,1,0.836867863,0.542622144,0.61627907,0.455696203,0.291044776,0.487614081,0.046511628,0.047466325,0,0.4921875,0,0,0.2,0.003246753,0.198542805,0.028499278,0,0.090909091,0.003322259,0.181818182,0.208661417,-1.22,0.136
0,1,1,0.25,0.5,0.5,0.340946166,0.136275998,0.139534884,0.607594937,0.686567164,0.482073012,0,0.455420141,0,0.71875,0.5,0.5,0.4,0.00974026,0,0.174025974,0,0.090909091,0.003322259,0.181818182,0.230314961,1.8,0.104
0,1,1,0.25,0.5,1,0.696574225,0.169996308,0.337209302,0.620253165,0.276119403,0.511408083,0.051162791,0.075689545,0,0.1328125,0,0.5,0.4,0.003246753,0.424408015,0.025901876,0.666666667,0.636363636,0.338870432,0.181818182,0.238188976,-2.88,0.135
0,1,1,0.625,0,1,0.469820555,0.158756205,0.558139535,0.53164557,0.388059701,0.597457627,0.051162791,0.003848621,0.8,0.921875,0,0,0,0.470779221,0.35154827,0.04011544,0.333333333,0.545454545,0.657807309,0.181818182,0.204724409,-0.31,0.164
