NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,XA,XB,XC,a_Å_uint,c_Å_unit,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,K_min,Temperature,Kpa,N_optimal,ZT
0.5,0,0.333333333,1,0,1,0,1,0,0.686786297,0.035894491,0.035087719,0.363636364,0.122270742,0.686046512,0.696202532,0.52238806,0.471968709,0.027906977,0.001282874,0.6,0.8828125,0,0,0,0.198051948,0.198542805,0.023809524,0,0.181818182,0.006644518,0.259259259,0,0.692913386,-1.05,0.02
0.5,0,0.333333333,1,1,0.5,0,0,0.934782609,0.649265905,0.018501046,0.105263158,0.409090909,0.189956332,0.73255814,0.683544304,0.962686567,0.893415906,0.074418605,0.034637588,0,0.46875,0,0,0.2,0.016233766,0.234972678,0.048340548,0,0.090909091,0.006644518,0.296296296,0,0.49015748,1.96,0.02
0.5,0,0.333333333,1,1,1,0,0,0,1,0.04381179,0.035087719,0.113636364,0,0.895348837,0.696202532,0.597014925,0.498370274,0.060465116,0.157793457,0,0.1640625,0,0,0.2,0.016233766,0.234972678,0.056998557,0,0.090909091,0.013289037,0.074074074,0,0.358267717,-5.39,0.02
0.5,0,0.333333333,1,0.5,0,0,0.1875,1,0.360522023,0.00451245,0.105263158,0.840909091,0.395196507,0.860465116,0.101265823,1,0.732073012,0.339534884,0.000641437,0,0.703125,0,0,0,0.522727273,1,0.911616162,0,0.090909091,0.03654485,0.555555556,0,0.295275591,2.62,0.03
0.5,0,0.333333333,1,0.5,0.5,0,0.1875,0.934782609,0.553017945,0.017229356,0.105263158,0.590909091,0.270742358,0.348837209,0.569620253,0.992537313,0.960560626,0.093023256,0.041693393,0,0.2265625,0.5,0.5,0.2,0.016233766,0.326047359,0.065656566,0,0.090909091,0.003322259,0.407407407,0,1,-336.59,0.01
0.5,0,0.333333333,1,0.5,1,0,0.1875,0,0.910277325,0.041206875,0,0.272727273,0.06768559,0.5,0.708860759,0.634328358,0.551173403,0.074418605,0.076972418,0,0.4765625,0,0,0.2,0.006493506,0.362477231,0.021284271,0,0.090909091,0.009966777,0.185185185,0,0.391732283,-2.14,0.03
1,0,0.666666667,0.25,0,0.5,1,1,0.934782609,0.092985318,0.846638225,0.736842105,0.863636364,0.799126638,0.593023256,0.291139241,0.328358209,0.019230769,0.027906977,0.084028223,0.8,0.984375,0,0,0,0.230519481,0.85428051,0.246031746,0.333333333,0.545454545,0.149501661,0.962962963,0,0.330708661,0.19,0.02
1,0,0.666666667,0.25,1,1,1,0,0,0.71451876,0.95799319,0.438596491,0.090909091,0.251091703,0.802325581,0.012658228,0,0.670469361,0.08372093,0.513149455,0.2,0.4296875,0,0,0,0.025974026,0.162112933,0.016233766,1,1,0.950166113,0.37037037,0,0.409448819,-0.73,0.04
1,0,0.666666667,0.25,0.5,1,1,0.1875,0,0.655791191,0.94464044,0.473684211,0.318181818,0.366812227,0.38372093,0.227848101,0.059701493,0.776075619,0.046511628,0.281590763,0.2,0.3359375,0,0.5,0.4,0.00974026,0.653916211,0.071067821,0.777777778,0.727272727,0.431893688,0.518518519,0,0.486220472,1.62,0.02
1,0,0.666666667,0.625,0,0.5,0.642857143,1,0.934782609,0.283849918,0.892131928,0.403508772,0.659090909,0.493449782,0.511627907,0.544303797,0.380597015,0.7226206,0.018604651,0.005772931,0.4,1,0,0,0,0.327922078,0.362477231,0.032828283,0.555555556,0.181818182,0.142857143,0.740740741,0,0.12007874,0.13,0.05
1,0,0.666666667,0.625,0,1,0.642857143,1,0,0.694942904,0.962936374,0.298245614,0.272727273,0.242358079,0.395348837,0.392405063,0.134328358,0.742829205,0.009302326,0.032713278,0.6,0.7578125,0,0,0.4,0.295454545,0.071038251,0.027777778,0.222222222,0.181818182,0.352159468,0.481481481,0,0.381889764,-2.13,0.04
1,0,0.666666667,0.625,1,0.5,0.642857143,0,0.934782609,0.580750408,0.904110432,0.280701754,0.363636364,0.279475983,0.290697674,0.329113924,0.604477612,0.808018253,0.158139535,0.035279025,0.8,0.8203125,0,0.5,0.6,0.25,0.12568306,0.01984127,0,0.090909091,0.003322259,0.518518519,0,0.627952756,3.68,0.02
1,0,0.666666667,0.625,1,1,0.642857143,0,0,0.95269168,0.991016122,0.210526316,0.068181818,0.082969432,0.441860465,0.341772152,0.111940299,0,0.051162791,0.071199487,0,0.4375,0,0,0.2,0.00974026,0.180327869,0.014430014,0.333333333,0.454545455,0.053156146,0.222222222,0,0.543307087,-2.48,0.02
1,0,0.666666667,0.625,0.5,0.5,0.642857143,0.1875,0.934782609,0.492659054,0.902531074,0.298245614,0.545454545,0.373362445,0.174418605,0.405063291,0.529850746,0.840938722,0.153488372,0.041693393,0.8,0.7265625,1,1,1,0.230519481,0.071038251,0.075396825,0,0.090909091,0.003322259,0.666666667,0,0.553149606,4.12,0.02
1,0,0.666666667,0.625,0.5,1,0.642857143,0.1875,0,0.879282219,0.983857735,0.210526316,0.227272727,0.170305677,0.290697674,0.443037975,0.097014925,0.590612777,0.023255814,0.025657473,0,0.5703125,0,0.5,0.2,0.003246753,0.162112933,0.009379509,0.444444444,0.545454545,0.348837209,0.333333333,0,0.529527559,-0.34,0.02
1,0,0.666666667,1,0,1,0,1,0,0.768352365,0.983180867,0.052631579,0.272727273,0.100436681,0.61627907,0.101265823,0.156716418,0.806388527,0.041860465,0.002565747,0.6,0.453125,0,0,0,0.386363636,0.216757741,0.014790765,0.222222222,0.545454545,0.239202658,0.259259259,0,0.338582677,-1.76,0.03
