NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,Temperature,Nop,ZT
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.09090909090909091,1.0,0.07
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.18181818181818182,0.0,0.13
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.2727272727272727,0.0,0.21
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.36363636363636365,0.0,0.28
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.45454545454545453,0.0,0.34
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.5454545454545454,0.0,0.4
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.6363636363636364,0.0,0.45
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.7272727272727273,0.0,0.49
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.8181818181818182,0.0,0.54
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.9090909090909091,0.0,0.58
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,1.0,0.0,0.61
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.0,1.0,0.04
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.09090909090909091,1.0,0.13
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.18181818181818182,1.0,0.27
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.2727272727272727,1.0,0.41
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.36363636363636365,1.0,0.53
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.45454545454545453,1.0,0.63
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.5454545454545454,1.0,0.71
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.6363636363636364,1.0,0.76
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.7272727272727273,1.0,0.79
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.8181818181818182,1.0,0.82
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,0.9090909090909091,1.0,0.84
0.5,0.0,0.3333333333333333,0.0,1.0,1.0,0.6166394779771625,0.03304344258932602,0.3099547511312216,0.98633257403189,1.0,1.0,0.85
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.0,0.0,0.04
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.09090909090909091,0.0,0.14
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.18181818181818182,0.0,0.24
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.2727272727272727,0.0,0.33
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.36363636363636365,0.0,0.49
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.45454545454545453,0.0,0.55
0.5,0.0,0.3333333333333333,1.0,0.0,0.5,0.3213703099510612,0.012532305041637621,0.572398190045249,0.08656036446469204,0.5454545454545454,0.0,0.59
